"unisun","unisunNum"
"Facebook-Twitter-Twitter-end",1
"Gmail-Camera-Facebook-end",2
"Gmail-Gmail-SMS-end",1
"SMS-Gmail-Facebook-BBC News-end",1
"Gmail-Appstore-end",1
"Research App 6-AppTracker-end",1
"CBeebies-Fruit Ninja-Fruit Ninja-end",1
"SMS-Camera-Facebook-end",1
"Facebook-Phone-Gmail-end",1
"SMS-Facebook-Gmail-Research App 6-end",1
"Appstore-Next Bike-SMS-Gmail-end",1
"Safari-Facebook-Gmail-end",1
"Facebook-Gmail-Guardian-Research App 6-end",1
"Guardian-Facebook-Gmail-Guardian-end",1
"Gmail-Twitter-Gmail-Gmail-end",1
"Gmail-Voice Memos-end",1
"Facebook-BBC News-Research App 5-Voice Memos-end",1
"Voice Memos-end",12
"Voice Memos-Voice Memos-end",1
"Facebook-Voice Memos-Appstore-Dropbox-end",1
"Voice Memos-Settings-end",1
"Facebook-Facebook-Twitter-end",1
"Dropbox-end",15
"SMS-Facebook-Research App 6-Research App 6-end",1
"Next Bike-FIFA-Gmail-Gmail-end",1
"Dropbox-Facebook-end",1
"Gmail-Gmail-Dropbox-Dropbox-end",1
"Research App 6-Dropbox-Facebook-end",1
"Dropbox-Gmail-end",1
"Gmail-Dropbox-Twitter-Research App 6-end",1
"Facebook-National Rail-end",1
"Gmail-Podcasts-Research App 6-Facebook-end",1
"Gmail-Twitter-BBC News-SMS-end",1
"Research App 6-Guardian-end",1
"Gmail-Facebook-Gmail-Facebook-end",1
"Phone-Gmail-Phone-Phone-end",1
"Gmail-Facebook-Research App 6-Facebook-end",2
"Gmail-Safari-Facebook-Safari-end",1
"SMS-Phone-Phone-SMS-end",1
"Guardian-Safari-end",2
"Safari-Google Maps-Safari-SMS-end",1
"Research App 6-Research App 6-Camera-Gmail-end",1
"Research App 6-Camera-Camera-Research App 6-end",1
"National Rail-Facebook-end",3
"Facebook-Facebook-Facebook-end",2
"Facebook-Gmail-Research App 6-Gmail-end",1
"Gmail-Facebook-Facebook-Guardian-end",1
"Guardian-Guardian-end",2
"Facebook-Twitter-Live Score World Cup-end",1
"BBC News-Guardian-end",2
"Gmail-Camera-Camera-end",1
"Gmail-BBC News-Facebook-end",1
"Gmail-Research App 6-Research App 6-Facebook-end",1
"Research App 6-Guardian-Gmail-Facebook-end",1
"Gmail-Guardian-BBC News-FIFA-end",1
"Compass-end",1
"National Rail-Safari-end",2
"Safari-Gmail-Facebook-end",1
"FIFA-Gmail-Research App 6-Facebook-end",1
"Research App 6-FIFA-Guardian-end",1
"Twitter-Research App 6-Facebook-Calendar-end",1
"Mail-Voice Memos-Settings-Voice Memos-end",1
"Guardian-Research App 6-Facebook-end",1
"SMS-SMS-Gmail-Google Maps-end",1
"Gmail-Research App 6-Gmail-Twitter-end",1
"Gmail-Google Maps-end",2
"Google Maps-Google Maps-Gmail-end",1
"Camera-Gmail-Camera-end",1
"Gmail-Research App 6-Guardian-end",1
"Dropbox-Dropbox-Research App 6-end",1
"Settings-Research App 6-Research App 6-Research App 6-end",1
"SMS-Research App 6-Research App 6-end",1
"Dropbox-Gmail-Dropbox-Facebook-end",1
"Gmail-Research App 6-Guardian-Twitter-end",1
"Twitter-Gmail-Facebook-Gmail-end",1
"Twitter-BBC News-FIFA-end",1
"Facebook-Gmail-Dropbox-end",1
"Gmail-Research App 6-Facebook-Fruit Ninja-end",1
"Phone-Phone-SMS-Safari-end",1
"Gmail-Gmail-Facebook-iPlayer-end",1
"Appstore-Instagram-Facebook-Instagram-end",1
"SMS-Gmail-Facebook-Gmail-end",1
"Research App 6-National Rail-Gmail-Facebook-end",1
"National Rail-Gmail-Guardian-end",1
"Facebook-Guardian-Twitter-end",1
"SMS-Camera-Gmail-Facebook-end",1
"Twitter-Safari-Twitter-end",1
"Gmail-Calendar-Safari-end",1
"Safari-Calendar-end",1
"Research App 6-Research App 6-Research App 6-Guardian-end",1
"Gmail-SMS-Calendar-end",1
"Twitter-Twitter-SMS-end",1
"SMS-Settings-end",3
"Gmail-Gmail-Gmail-Gmail-end",1
"Settings-SMS-end",1
"Phone-SMS-Gmail-end",1
"Phone-Phone-end",1
"Gmail-Research App 6-Research App 6-end",1
"Research App 6-Phone-end",1
"Gmail-AppTracker-Research App 6-Gmail-end",1
"Research App 6-Gmail-Dropbox-end",1
"Gmail-Gmail-Dropbox-end",1
"Doodlejump-Dropbox-Doodlejump-end",1
"Gmail-Research App 6-Dropbox-end",2
"Doodlejump Race-Twitter-Dropbox-end",1
"Doodlejump-end",3
"Research App 6-Guardian-Research App 6-Facebook-end",1
"YouTube-Facebook-Gmail-end",1
"Safari-Safari-Gmail-YouTube-end",1
"Research App 6-Facebook-Camera-Camera-end",1
"SMS-Facebook-Facebook-Camera-end",1
"Research App 6-Gmail-Dropbox-iPlayer-end",1
"Gmail-Google Play Music-Starbucks-end",1
"Research App 6-Gmail-Guardian-Gmail-end",1
"Research App 6-Starbucks-end",1
"Gmail-Research App 6-Appstore-Nike Move-end",1
"Voice Memos-Voice Memos-Phone-Gmail-end",1
"Guardian-Gmail-end",5
"Research App 6-Dropbox-end",3
"Gmail-Gmail-Research App 6-Research App 6-end",1
"Facebook-Gmail-Gmail-end",1
"Starbucks-Twitter-end",1
"Appstore-Safari-Appstore-end",1
"Gmail-Facebook-Twitter-BBC News-end",2
"Facebook-Voice Memos-Mail-end",1
"Nike Move-Nike Move-Nike Move-Appstore-end",1
"Gmail-FIFA-Gmail-Safari-end",1
"Camera-Camera-Camera-end",1
"FIFA-FIFA-FIFA-Twitter-end",1
"Gmail-Nike Move-Research App 6-end",1
"Gmail-Gmail-Safari-Guardian-end",1
"SMS-SMS-SMS-end",1
"SMS-Gmail-Gmail-Research App 6-end",1
"National Rail-Gmail-Gmail-end",2
"Gmail-SMS-Research App 6-end",1
"Appstore-Safari-SMS-Safari-end",1
"Phone-Safari-Gmail-SMS-end",1
"Gmail-Google Maps-Google Maps-end",1
"Gmail-Gmail-Safari-end",1
"Google Maps-Gmail-Camera-Gmail-end",1
"Gmail-SMS-Gmail-SMS-end",1
"SMS-Phone-Phone-end",1
"SMS-Gmail-Settings-end",1
"Camera-Gmail-Nike Move-end",1
"Nike Move-FIFA-World Soccer Finals-end",1
"Gmail-iMovie-end",1
"Camera-Camera-Photos-Camera-end",1
"Camera-Photos-Facebook-end",1
"Gmail-SMS-Phone-end",1
"Phone-Gmail-Google Maps-end",1
"Facebook-Gmail-BBC News-end",1
"Trip Advisor-end",2
"Trip Advisor-Facebook-Gmail-end",1
"Gmail-Facebook-Trip Advisor-end",1
"SMS-Calendar-Gmail-end",1
"Fruit Ninja-end",1
"Google Maps-Google Maps-Safari-Google Maps-end",1
"Gmail-Google Maps-Trip Advisor-Safari-end",1
"SMS-Gmail-Gmail-end",1
"Facebook-Camera-Facebook-end",2
"Gmail-Twitter-FIFA-end",1
"Gmail-Dropbox-end",1
"Gmail-Research App 6-SMS-end",1
"Gmail-Facebook-Guardian-Guardian-end",1
"Gmail-Camera-end",1
"Great Circle-end",5
"Great Circle-Safari-Appstore-Great Circle-Safari-end",1
"Camera-Google Maps-end",1
"World Soccer Finals-FIFA-Research App 6-AppTracker-end",1
"Gmail-Great Circle-Appstore-My City Glasgow-end",1
"SMS-My City Glasgow-SMS-My City Glasgow-end",1
"My City Glasgow-Photos-Appstore-My City Glasgow-end",1
"My City Glasgow-Gmail-end",1
"Gmail-Facebook-Twitter-Gmail-end",1
"Gmail-Gmail-Gmail-Facebook-end",1
"Gmail-Great Circle-National Rail-end",1
"Facebook-Settings-Camera-Dropbox-end",1
"My City Glasgow-end",5
"Gmail-Gmail-BBC News-Gmail-end",1
"My City Glasgow-My City Glasgow-Pedometer-end",1
"National Rail-Gmail-Great Circle-Great Circle-end",1
"BBC News-Gmail-Gmail-end",1
"Gmail-My City Glasgow-Pedometer-end",2
"SMS-My City Glasgow-Settings-SMS-end",1
"Gmail-Settings-end",1
"Facebook-Gmail-Gmail-Gmail-end",1
"Google Maps-Facebook-end",1
"Facebook-Gmail-Twitter-end",1
"SMS-Gmail-Facebook-Phone-end",1
"Gmail-Dropbox-My City Glasgow-My City Glasgow-end",1
"Gmail-Google Maps-Gmail-end",1
"Research App 6-My City Glasgow-end",1
"Appstore-Camera-Appstore-end",1
"Settings-Safari-Appstore-end",1
"POP Prototyping-end",5
"Camera-Camera-Facebook-end",1
"My City Glasgow-Pedometer-Gmail-end",1
"Pedometer-My City Glasgow-Pedometer-end",1
"Gmail-My City Glasgow-National Rail-end",1
"Pedometer-My City Glasgow-end",2
"Gmail-Safari-National Rail-end",1
"Gmail-Facebook-Settings-SMS-end",1
"Camera-Gmail-Gmail-end",1
"SMS-National Rail-Gmail-Pedometer-end",1
"Gmail-National Rail-National Rail-end",1
"Pedometer-Photos-end",1
"SMS-Dropbox-end",1
"SMS-Gmail-My City Glasgow-end",1
"Phone-Gmail-Gmail-My City Glasgow-end",1
"Gmail-Great Circle-My City Glasgow-Great Circle-end",1
"POP Prototyping-Appstore-end",1
"My City Glasgow-Settings-end",1
"Research App 6-Dropbox-Camera-end",1
"Appstore-SMS-end",1
"Research App 6-Change4Life-Change4Life-Change4Life-end",1
"WhatsApp-Gmail-end",1
"SMS-Safari-Weather-end",1
"Gmail-My City Glasgow-Gmail-Dropbox-end",1
"SMS-SMS-Settings-SMS-end",1
"SMS-Gmail-Appstore-Safari-end",1
"Gmail-Facebook-Camera-My City Glasgow-end",1
"Appstore-Safari-Appstore-Safari-end",1
"National Rail-Gmail-end",3
"Twitter-My City Glasgow-end",1
"Gmail-My City Glasgow-end",1
"My City Glasgow-Pedometer-Dropbox-Gmail-end",1
"My City Glasgow-My City Glasgow-My City Glasgow-end",1
"Gmail-Dropbox-Gmail-end",1
"Twitter-National Rail-National Rail-end",1
"Safari-National Rail-Safari-end",1
"SMS-Gmail-SMS-end",1
"Phone-SMS-Phone-end",1
"Gmail-Gmail-Facebook-BBC News-end",1
"Facebook-Settings-Twitter-end",1
"National Rail-National Rail-National Rail-end",1
"BBC News-BBC News-BBC News-end",1
"National Rail-Guardian-end",1
"Pedometer-National Rail-Garage Band-end",1
"Safari-National Rail-SMS-end",1
"Chromecast-iPlayer-Gmail-iPlayer-end",1
"Gmail-Pedometer-end",1
"Research App 6-Gmail-Phone-end",1
"Gmail-SMS-Guardian-end",1
"Gmail-Calendar-Gmail-end",2
"Pedometer-end",7
"Gmail-Gmail-Twitter-end",1
"Appstore-Post Factory-Facebook-Post Factory-Post Factory-end",1
"Gmail-Post Factory-Facebook-Post Factory-end",1
"Post Factory-Facebook-Gmail-end",1
"Appstore-Safari-Gmail-Calendar-end",1
"PhotoShop-Appstore-Settings-Gmail-end",1
"Gmail-Facebook-Facebook-Facebook-end",1
"Calendar-SMS-end",1
"Pedometer-Pedometer-Gmail-end",1
"Gmail-Pedometer-Gmail-Guardian-end",2
"Research App 6-Appstore-My City Glasgow-end",1
"Camera-Photos-Camera-end",1
"Gmail-Camera-Facebook-Twitter-end",1
"My City Glasgow-Pedometer-end",1
"Gmail-SMS-Gmail-Facebook-end",1
"Camera-POP Prototyping-end",1
"My City Glasgow-Phone-Phone-Pedometer-end",1
"Safari-Camera-end",1
"Guardian-Guardian-Gmail-end",1
"Facebook-Phone-end",1
"Gmail-BBC News-Safari-Gmail-end",1
"Gmail-Pedometer-Facebook-BBC News-end",1
"Gmail-Facebook-Settings-end",1
"Gmail-Gmail-SnapChat-SnapChat-end",1
"Calendar-Gmail-end",1
"Weather-end",1
"Post Factory-Pedometer-end",1
"Pedometer-Great Circle-Guardian-end",1
"Appstore-Dropbox-Pedometer-Nike Training-end",1
"Nike Training-Nike Training-end",1
"Guardian-SMS-end",1
"Pedometer-WhatsApp-end",1
"Gmail-Gmail-Twitter-Facebook-end",1
"Safari-Guardian-BBC News-Gmail-end",1
"Nike Training-Facebook-Nike Training-end",1
"SMS-Gmail-Facebook-Pedometer-end",1
"Facebook-Safari-Gmail-end",1
"Gmail-Google Play Music-Glasgow 2014-Safari-Glasgow 2014-end",1
"BBC News-Pedometer-Pedometer-end",1
"Pedometer-Pedometer-Nike Move-Pedometer-end",1
"Appstore-Research App 1-Twitter-end",1
"Facebook-Gmail-Pedometer-AppTracker-end",1
"Google Maps-Gmail-SMS-end",1
"Guardian-Gmail-Facebook-end",1
"Gmail-Facebook-Pedometer-end",1
"Pedometer-Research App 6-end",1
"Gmail-Facebook-Appstore-Facebook-end",1
"Phone-SMS-Gmail-SMS-end",1
"Safari-Glasgow 2014-end",1
"Safari-Facebook-Pedometer-BBC News-end",1
"Safari-Safari-BBC News-BBC News-end",1
"Appstore-Swipe the Arrows-end",1
"SMS-Phone-Pedometer-end",1
"Safari-Gmail-Guardian-end",1
"Safari-Gmail-Facebook-BBC News-end",1
"Camera-Photos-end",1
"Pedometer-Facebook-Guardian-end",1
"Safari-Safari-BBC News-end",1
"Research App 6-Pedometer-Research App 6-Gmail-end",1
"Research App 6-Research App 2-Research App 2-end",1
"SMS-Pedometer-end",1
"WhatsApp-WhatsApp-end",1
"WhatsApp-end",2
